1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
1267,7,607.66,232,325,2,104,233.44,0,4669879.69,0,2.29,9,3,10,21,2114056.49,0,153593.72,20,8,51623.63,32,64,-770388,905,72,10739.21,4,0,4202879.48,601165.47,665,0,9,52590,10490712.4,42,482370.52,0,0,274,25,22,0,28,3413,4077,1541,1,88,2,0,10,1,5,0,33,1544,9392,2,12,180,4,830,1,10,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
308,0,0,164,205,0,56,265.76,0,6177720,0,0.3,9,3,18,0,2990736,0,190391.1,10,0,21024,32,104,43402.4,580,78,0,4,0,2208245,1025522,0,0,9,0,10065120,12,0,0,0,278,25,22,0,39,316,762,4010,1,98,1,21,10,1,5,0,33,1369,9874,1,12,1215,4,1281,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1064,7,308,132,165,0,32,346.08,5,9201840,0,3.89,9,3,56,7,330120,0,150448.2,45,2,7500,40,8,146416,555,108,4905,-26,8,0,513884,1695,0,0,0,10568120,0,475230,0,0,233,25,22,0,62,537,4299,575,1,58,3,7,10,1,5,0,33,1548,2985,2,12,6,4,1615,1,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,7,532,164,205,6,128,133.12,0,531954,0,2.1,9,3,78,63,497000,0,50676,15,10,5562,48,40,198050.4,605,18,10881,34,0,496625,647104,395,0,9,34790,3524352,18,289332,0,0,233,25,22,0,62,3148,2693,2649,1,37,1,11,4,1,5,0,65,238,13345,2,12,2836,2,1730,1,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,0,0,124,155,0,88,253.52,0,5702430,0,0.9,9,3,48,0,0,0,162025.5,20,8,1497,32,0,135238.8,510,66,423,-8,0,179145,1900800,0,0,0,0,10511360,2,2073600,0,0,42,25,22,0,178,4113,3683,1309,1,79,1,7,10,1,5,0,33,1443,7705,1,12,983,4,3559,1,14,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
938,7,264,92,115,2,120,200,0,0,0,6.04,9,3,108,0,24992,0,5296.95,0,2,51515.44,16,40,24076.56,410,0,11475,-2,0,5435,106878,415,0,9,11760,237320,4,10080,0,0,173,0,22,0,3,706,39,4413,3,48,2,12,10,2,5,0,44,6,11207,1,12,704,4,1835,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1029,7,608,160,195,2,64,200,0,1378045.74,0,6.04,18,3,4,28,912354.37,0,57476.6,10,6,35411.35,40,48,-1573312,615,36,16452,-20,0,1524026.23,209393.54,520,0,9,80016.16,7731556.94,26,165623.09,0,0,361,25,22,0,74,417,1875,1177,1,90,2,0,10,1,5,1,33,95,12203,2,12,527,4,1828,1,10,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
805,7,220,88,110,0,64,200,0,11028,0,6.57,18,3,38,0,121656,0,4864.86,5,0,72240,0,48,1790.72,345,6,28260,14,0,32065,10740,210,0,9,0,121068,12,0,0,0,284,25,22,0,180,1065,1313,3915,1,80,2,7,10,1,5,0,33,1544,13924,2,12,4073,4,2844,1,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,14,6780,356,445,8,104,233.36,10,4321044,0,3.91,18,3,106,98,2510728,0,123531.6,35,14,1896,80,112,-123002.4,1255,90,40014,-26,16,4762935,168748,1255,0,27,112315,10149520,66,396612,0,0,298,25,22,0,205,3079,2532,3475,1,7,2,18,10,1,5,0,33,1418,13587,1,12,3929,4,1202,4,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,28,35,6,8,20.08,5,35022,9,3.97,9,3,16,0,14515200,3,1076655,0,2,33338.59,24,24,180169.2,60,12,0,4,24,0,128350,0,0,0,12700800,9956840,0,3628800,0,0,347,25,22,0,74,463,2648,4337,1,49,1,7,4,1,5,0,33,1838,12915,2,12,605,5,2131,1,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1687,7,116,256,320,4,224,200,0,555888,0,3.52,9,3,106,0,779664,0,41329.5,30,12,57524.76,72,72,11221.72,960,12,2061,-30,0,404295,852362,385,0,0,551250,3707352,26,775326,0,0,272,25,22,0,103,1206,1478,2573,1,28,2,18,10,1,5,0,33,1418,11173,1,12,3741,4,3094,1,22,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2576,7,336,356,445,8,304,200,0,12714,0,6.09,27,6,82,0,1876592,0,26523.96,0,26,34464,96,136,62919.2,1530,42,612,-30,0,705055,534768,55,0,27,480816,3073864,28,740268,0,0,28,25,22,0,203,3930,2555,4918,1,40,1,16,10,1,5,0,44,6,7522,2,12,194,4,2489,1,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,166.56,0,0,0,4.06,9,3,20,0,0,0,0,0,0,47590.68,56,0,0,0,0,0,4,0,0,0,0,0,0,152546.64,0,0,0,0,0,0,25,22,0,3,3389,1434,4214,3,35,2,7,10,2,4,0,33,1544,12378,2,0,3725,4,2441,0,1,2,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1008,7,0,328,410,4,184,286.96,0,4718352,0,3.99,9,3,36,0,2266144,0,138704.7,15,10,45465,80,56,914540,1100,114,2214,12,0,4229330,767772,15,0,9,7959,10134960,50,870042,0,0,327,25,22,0,178,336,556,3910,1,69,1,21,10,1,1,0,33,1317,1016,1,0,2908,4,1581,0,14,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3178,28,9832,120,150,8,80,153.2,0,0,0,4.39,45,9,142,987,132832,0,6969.03,0,8,98412,40,64,-1447312,1305,0,46224,0,0,266630,28082,4245,0,18,96572,430004,16,141180,0,0,357,0,12,0,154,2812,5030,1396,1,61,1,15,10,1,5,0,44,788,11060,2,0,3920,4,2086,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3283,7,2768,524,655,18,408,176.56,0,414,0,5.04,18,3,126,329,55000,0,2085.64,10,32,80433,152,152,-56988.4,1795,6,14868,-2,0,155845,55000,3480,0,18,53144,330380,84,95682,0,0,327,0,22,0,100,207,4967,2243,1,69,2,12,4,1,5,0,65,772,10251,2,12,3602,2,1952,1,14,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
791,0,0,136,170,2,80,286.32,15,3571410,0,4.14,9,3,24,0,2443520,0,50280.3,15,6,25807.55,32,48,1327268,880,48,0,-30,32,1319915,1219226,0,6,18,109508,8275080,8,211770,0,0,321,25,22,0,178,2003,1697,3642,1,1,1,7,10,1,5,0,33,1544,6516,1,12,1873,4,2312,1,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2247,7,944,640,800,4,104,96.96,5,4496232,0,4.38,9,3,124,14,823312,3,8915.49,35,0,273363,40,24,79418.8,3075,54,4896,4,32,4172860,232024,575,0,27,440524,9748680,256,0,0,14,157,0,22,0,100,2991,718,3892,1,69,1,11,4,1,5,0,27,551,12307,2,12,350,6,2751,1,14,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,263.52,0,0,0,4.31,9,3,12,0,0,0,0,0,0,24888,64,0,-261689.2,0,0,0,4,0,0,0,0,0,0,161203.38,0,0,0,0,0,129,25,22,0,27,2832,2591,2754,1,72,2,7,5,1,5,0,37,1221,12688,2,12,2596,0,3171,1,18,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2072,7,88,84,105,6,32,253.52,0,261696,0,5.71,9,3,30,0,230136,0,27535.77,10,2,40035.42,40,32,-1506852,1030,18,729,6,0,284705,16212,210,0,0,100716,975008,14,119796,0,0,137,25,22,0,3,3901,1941,2094,3,98,1,7,10,2,5,0,33,1084,2884,1,12,803,4,253,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,264,330,0,184,198.8,5,2611614,0,5.09,9,3,14,0,2764800,6,88025.7,15,0,183636,24,32,-162594,330,36,0,-14,40,4140475,136808,0,0,0,0,7746280,60,0,2,7,9,25,22,0,74,3658,3019,68,1,23,2,7,10,1,5,1,33,1447,5583,1,12,3885,4,1599,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,7,836,36,45,0,0,230.08,0,286068,0,0.72,9,3,112,0,1382400,0,209230.5,0,0,1725,8,16,0,410,6,846,-18,8,2592000,0,290,0,18,0,2955512,12,0,2,0,316,0,22,0,20,4146,1313,588,1,83,2,18,10,1,5,0,33,895,584,1,12,3263,4,1858,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,152,190,4,40,220.08,0,6926040,0,5.21,9,3,26,0,691200,0,196493.4,35,6,95340,32,8,85011.2,585,84,0,-22,0,2484005,220006,0,0,9,1209600,10462080,16,1236900,0,0,48,25,22,0,122,2848,1875,3971,1,23,1,21,10,1,5,1,33,1305,5348,1,12,3000,4,3338,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,7,92,188,210,2,80,200,0,518400,0,6.13,9,3,8,7,766226.64,0,83731.1,5,6,43082.83,32,48,-49136,685,24,3906,-30,0,1451452.49,276943.25,95,0,9,53749.37,5444844.47,30,205083.04,0,0,111,33,22,0,4,667,1418,874,1,82,2,0,8,1,5,0,22,1368,1182,2,12,2061,6,3078,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
126,0,0,180,225,4,48,20.08,0,4782336,0,3.13,9,3,14,0,1166864,0,179932.5,25,8,4617,56,32,452212,295,66,0,-16,0,4656365,356178,0,0,0,162022,10444600,30,1296360,0,0,248,25,22,0,74,3109,390,5341,1,43,3,7,10,1,5,1,33,450,6589,1,12,1852,4,683,1,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,7,40,212,265,8,80,240.96,0,1324896,0,6.56,18,3,132,0,1234952,0,94897.2,30,24,5316,80,64,-164135.6,515,36,5805,-8,0,3169555,1733368,10,0,18,121646,8391000,22,511884,0,0,88,0,22,0,188,2593,800,5029,1,36,2,12,10,1,5,1,44,558,1341,1,12,577,4,661,1,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,21,2932,136,170,0,40,272.16,10,3336594,0,2.87,27,6,104,231,1506528,0,23090.76,20,10,2637,32,24,-275726.8,375,48,6336,-22,16,3429500,476646,655,0,27,0,8305480,18,975804,0,0,128,25,12,0,74,3289,2847,3825,1,12,2,14,10,1,5,1,44,788,7855,2,12,309,4,4099,4,12,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,28,1772,304,380,8,144,176.56,0,4666188,0,0.58,36,12,154,63,1982576,0,107921.7,45,8,19113,80,128,76892.8,1015,72,55053,-8,0,5178500,174446,1415,0,27,63595,10456440,34,341856,0,0,217,42,22,0,184,2991,3968,1873,1,31,2,15,4,1,5,0,42,608,6466,2,12,350,0,2751,4,6,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1568,0,0,268,335,8,104,186.64,10,4136202,0,3.6,9,3,22,0,1581624,0,52983.3,35,6,53031,88,88,726012,1035,72,0,4,16,2558015,813540,0,0,9,418341,8445400,42,120726,0,0,189,25,22,0,177,4156,4265,4222,1,34,2,21,10,1,5,0,33,1544,7585,2,12,1482,4,4168,1,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
